block size,global sparsity,eval_accuracy
1.0,0.9987244897959183,0.7800999879837036
2.0,0.9974489795918368,0.8643999695777893
4.0,0.9948979591836735,0.8904999494552612
9.0,0.988533423573511,0.9138999581336975
19.0,0.9758791909620991,0.9259999990463257
41.0,0.9479969283631821,0.9384999871253967
88.0,0.8887963348604748,0.9528999924659729
185.0,0.7741240628904623,0.9606999754905701
392.0,0.5,0.9691999554634094
